,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,Attrition,EducationField_Human_Resources,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,DailyRate,MonthlyIncome
11,29,15,2,4,2,9,3,0,12,0,10,3,9,5,0,0,1,0,0,0,0,0,0,1,0,1,-0.940751445,-0.120265617
12,31,26,1,1,3,4,3,1,17,1,5,2,5,2,0,0,1,0,0,0,0,1,0,0,1,0,-0.193641618,-0.435563207
13,34,19,2,2,3,9,4,0,11,1,3,3,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0.783236994,-0.497048697
14,28,24,3,3,2,9,3,5,14,0,6,3,4,2,1,0,1,0,0,0,0,0,0,1,0,1,-1.01300578,-0.652729956
15,29,21,4,2,4,6,1,1,11,1,10,3,10,9,0,0,1,0,0,0,0,1,0,0,1,0,0.845375723,1.303000492
16,32,5,2,1,4,4,2,0,12,2,7,2,6,2,0,0,1,0,0,0,0,1,0,0,0,1,-0.679190751,-0.340383669
17,22,16,2,4,4,9,4,1,13,2,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0.460982659,-0.4296606
18,53,2,4,1,2,1,4,2,16,0,31,3,25,8,0,0,1,0,0,0,0,0,1,0,1,0,0.599710983,2.642646335
19,38,2,3,4,3,4,4,5,11,0,6,3,3,2,0,0,1,0,0,0,0,0,0,1,0,1,-0.625722543,-0.181505165
20,24,11,2,1,4,6,3,0,18,1,5,2,4,2,0,0,0,0,0,1,0,1,0,0,1,0,-0.189306358,-0.165027054
21,36,9,4,3,2,8,1,7,23,0,10,3,5,3,1,0,1,0,0,0,0,0,0,1,1,0,0.598265896,-0.313575996
22,34,7,4,1,3,3,2,0,11,0,13,3,12,6,0,0,1,0,0,0,0,0,0,1,1,0,-0.556358382,1.798327595
23,21,15,2,3,3,4,4,1,14,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,-0.596820809,-0.848499754
24,34,6,1,2,3,4,1,2,11,0,8,3,4,2,1,0,0,0,1,0,0,0,0,1,1,0,-0.151734104,-0.423512051
25,32,16,1,2,1,4,1,1,22,0,10,3,10,2,1,0,1,0,0,0,0,0,0,1,0,1,0.463872832,-0.187653714
26,42,8,4,3,3,2,2,0,11,1,10,3,9,7,0,0,0,1,0,0,0,0,1,0,1,0,-0.163294798,0.527053615
27,44,7,4,1,2,7,4,3,14,1,24,3,22,6,0,0,0,0,1,0,0,0,1,0,1,0,-0.472543353,1.368912937
28,33,2,3,3,3,9,4,4,11,0,7,3,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0.173410405,-0.53762912
29,44,10,4,4,3,7,4,2,13,0,9,4,4,2,0,0,0,0,0,1,0,0,1,0,0,1,0.946531792,0.438514511
30,30,9,2,4,2,9,3,1,13,0,10,3,10,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.981213873,-0.608952287
31,39,5,3,4,3,8,4,3,14,1,19,4,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0.13150289,-0.638465322
32,24,1,3,2,3,4,4,2,16,1,6,2,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0.01300578,-0.587555337
33,43,2,2,4,4,4,3,1,12,2,6,2,5,3,0,0,0,0,1,0,0,1,0,0,1,0,0.677745665,-0.500983768
34,50,3,2,1,2,8,3,1,14,0,3,3,3,2,1,0,0,1,0,0,0,0,1,0,0,1,0.093930636,-0.491637973
35,35,2,3,4,3,8,4,1,13,0,2,3,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0.124277457,-0.656173143
36,36,5,4,2,2,4,1,9,14,1,6,4,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0.069364162,-0.310624693
37,33,1,3,3,4,2,1,2,19,2,10,3,5,3,0,0,1,0,0,0,0,0,1,0,1,0,0.48699422,0.170683719
38,35,4,2,3,3,9,4,1,12,1,1,3,1,0,0,0,0,0,0,1,0,1,0,0,1,0,-0.49132948,-0.671667486
39,27,2,4,4,3,9,1,1,13,1,1,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.630057803,-0.575750123
40,26,25,3,1,1,9,3,1,12,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0.799132948,-0.587555337
41,27,8,3,4,3,2,3,1,15,0,9,3,9,8,0,0,1,0,0,0,0,0,0,1,1,0,0.274566474,0.994589277
42,30,1,2,3,3,9,4,1,23,0,12,3,12,8,0,0,0,0,1,0,0,0,0,1,1,0,-0.119942197,-0.165027054
43,34,23,4,2,3,2,3,0,20,0,10,3,9,5,0,0,0,1,0,0,0,0,0,1,1,0,0.37716763,-0.028037383
44,37,19,2,2,3,4,2,4,21,0,8,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-0.572254335,-0.40826365
45,46,5,4,1,3,2,4,4,21,0,14,3,9,6,0,0,0,1,0,0,0,0,0,1,0,1,0.588150289,0.268076734
46,35,8,1,4,4,9,4,1,19,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.61416185,-0.593457944
47,48,1,2,1,2,9,3,9,13,0,23,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,-0.257225434,0.171913428
48,28,5,4,3,3,9,3,1,13,0,2,2,2,2,1,0,0,0,0,0,1,0,0,1,0,1,0.910404624,-0.30521397
49,44,1,5,2,3,2,1,5,21,1,9,2,4,3,0,0,0,1,0,0,0,1,0,0,0,1,0.988439306,0.189867191
50,35,11,2,3,2,7,1,2,13,1,10,3,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0.423410405,1.279390064
51,26,23,3,3,2,2,4,7,19,1,5,2,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0.923410405,-0.129119528
52,33,1,2,1,3,3,4,1,12,0,15,3,15,14,0,0,1,0,0,0,0,0,0,1,0,1,-0.417630058,2.158386621
53,35,18,5,2,3,2,1,1,22,1,9,2,9,8,0,0,1,0,0,0,0,0,1,0,1,0,0.070809249,1.078947368
54,35,23,4,3,3,9,1,3,15,1,4,3,2,2,0,0,0,0,1,0,0,0,1,0,0,1,0.488439306,-0.164289228
55,31,7,4,4,3,9,4,3,22,1,10,2,7,7,0,0,1,0,0,0,0,1,0,0,1,0,-0.215317919,0.303246434
56,37,1,4,1,2,6,3,1,18,1,7,4,7,5,0,0,1,0,0,0,0,1,0,0,1,0,0.449421965,0.322429907
57,32,1,3,1,3,6,4,1,22,1,9,3,9,8,0,0,0,0,1,0,0,0,1,0,0,1,-0.544797688,0.363994097
58,38,29,5,4,3,9,4,1,11,0,10,3,10,3,0,0,1,0,0,0,0,0,0,1,1,0,-0.218208092,-0.559763896
59,59,25,3,1,3,2,1,7,11,0,28,2,21,16,0,0,1,0,0,0,0,0,0,1,1,0,0.911849711,0.726758485
60,36,8,3,3,3,7,3,1,13,3,17,3,17,14,0,0,0,0,0,0,1,1,0,0,1,0,0.605491329,1.331529759
61,55,8,3,4,3,1,3,2,14,3,21,3,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0.046242775,2.477619282
62,36,11,3,2,2,6,2,1,13,0,6,3,6,5,0,0,1,0,0,0,0,0,0,1,1,0,0.565028902,0.446876537
63,45,7,3,2,3,4,1,2,17,1,25,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.773121387,1.240039351
64,35,1,3,2,3,4,1,4,13,1,5,2,3,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.202312139,-0.611903591
65,36,9,3,4,2,4,3,0,17,1,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,1,-0.702312139,-0.318248893
66,59,1,1,1,2,2,3,7,11,0,20,2,4,3,0,0,1,0,0,0,0,0,0,1,1,0,0.608381503,0.194540089
67,29,2,3,3,3,4,2,0,23,1,6,3,5,4,0,0,1,0,0,0,0,0,1,0,1,0,0.757225434,-0.486719134
68,31,1,4,3,3,4,2,1,17,0,1,3,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0.401734104,-0.53639941
69,32,1,3,2,3,4,2,1,17,2,10,3,10,4,0,0,1,0,0,0,0,0,1,0,1,0,-0.369942197,0.378258731
70,36,6,3,2,4,9,4,3,12,0,5,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-0.971098266,-0.404328578
71,31,8,4,3,3,6,4,1,23,0,11,3,11,7,0,0,1,0,0,0,0,0,0,1,1,0,-0.083815029,-0.063453025
72,35,1,4,3,2,2,1,0,14,0,16,3,15,13,0,0,0,1,0,0,0,0,0,1,1,0,-0.040462428,-0.090998524
73,45,6,4,4,3,3,1,4,14,0,17,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-0.882947977,2.106000984
74,37,7,4,1,3,3,3,4,13,0,16,4,5,2,0,0,0,0,1,0,0,0,0,1,1,0,-0.588150289,2.209050664
75,46,5,2,2,3,5,2,8,22,1,16,3,4,2,0,0,0,0,1,0,0,1,0,0,0,1,0.203757225,0.083374324
76,30,1,1,4,2,9,4,1,12,2,10,2,10,8,0,0,1,0,0,0,0,0,1,0,0,1,0.069364162,0.109198229
77,35,1,3,2,2,4,3,1,18,0,6,3,6,4,0,0,0,0,1,0,0,0,0,1,1,0,0.592485549,-0.448352189
78,55,1,2,1,3,2,4,3,14,1,24,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,-1.001445087,1.366699459
79,38,6,3,2,1,4,4,7,12,3,17,3,13,11,0,0,0,0,1,0,0,1,0,0,0,1,-0.333815029,0.159124447
80,34,1,2,1,3,6,2,1,15,0,5,3,5,2,0,0,0,0,1,0,0,0,1,0,1,0,0.50433526,-0.087801279
81,56,7,3,4,1,6,4,4,11,0,37,2,6,4,0,0,1,0,0,0,0,0,0,1,1,0,0.861271676,0.634038367
82,23,2,1,3,3,8,1,3,13,1,3,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-0.380057803,-0.58042302
83,51,9,4,4,3,9,4,3,23,2,10,3,4,2,0,0,1,0,0,0,0,0,1,0,1,0,-0.537572254,-0.641170684
84,30,2,3,3,2,7,4,1,19,3,11,3,11,10,0,0,1,0,0,0,0,0,1,0,1,0,-0.74566474,-0.130349238
85,46,9,2,3,2,2,4,1,16,0,9,3,9,8,1,0,0,0,1,0,0,0,0,1,1,0,-0.195086705,1.214215445
86,40,1,4,3,2,7,2,1,22,1,22,2,22,3,0,0,1,0,0,0,0,0,1,0,1,0,-0.395953757,2.169454009
87,51,21,4,3,3,2,4,0,22,0,11,1,10,7,0,0,0,1,0,0,0,0,0,1,0,1,-0.248554913,0.186669946
88,30,4,2,3,2,2,2,1,12,3,11,2,11,8,0,0,0,0,1,0,0,1,0,0,0,1,0.765895954,0.129611412
89,46,1,3,3,2,7,1,2,13,1,21,2,10,9,0,0,0,0,1,0,0,0,1,0,0,1,-0.239884393,1.473438269
90,32,6,4,2,3,2,3,1,16,0,12,3,11,8,0,0,0,0,1,0,0,0,0,1,1,0,0.417630058,0.080668962
91,54,2,4,1,3,3,3,9,12,1,16,1,4,3,0,0,0,0,0,0,1,0,1,0,1,0,0.596820809,2.180767339
92,24,3,2,1,3,2,3,0,21,1,4,2,3,2,0,0,0,0,0,1,0,0,1,0,1,0,0.793352601,0.077963601
93,28,4,3,2,3,2,3,1,15,0,5,4,5,4,0,0,0,0,1,0,0,0,1,0,1,0,-0.988439306,-0.113379242
94,58,10,4,4,3,2,3,0,13,0,38,2,37,10,0,0,0,0,1,0,0,0,0,1,1,0,-0.176300578,2.260206591
95,44,23,3,2,3,9,2,4,12,1,17,4,3,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.455202312,-0.649286768
96,37,6,4,3,3,5,1,4,22,0,7,3,3,2,1,1,0,0,0,0,0,1,0,0,0,1,0.00433526,-0.641662568
97,32,1,1,4,3,4,1,1,13,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0.033236994,-0.424495819
98,20,6,3,4,2,9,4,1,18,0,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0.096820809,-0.431874078
99,34,6,4,1,3,4,3,1,14,0,16,3,16,13,0,0,0,0,0,1,0,0,0,1,1,0,-0.200867052,0.031234629
100,37,2,2,3,2,7,4,5,14,1,17,4,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.341040462,0.118298082
101,25,5,3,3,2,2,3,1,11,0,6,3,6,4,1,0,0,1,0,0,0,0,0,1,0,1,-0.815028902,0.261190359
102,25,7,1,4,2,4,4,1,11,2,2,3,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0.687861272,-0.44097393
103,22,15,3,2,3,9,4,1,15,0,1,3,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-0.39017341,-0.445400885
104,51,1,4,1,2,7,1,3,20,0,23,2,13,12,0,0,0,0,1,0,0,0,0,1,1,0,0.942196532,0.689129365
105,34,7,3,1,1,9,3,1,24,0,9,3,9,7,1,0,1,0,0,0,0,0,0,1,0,1,-0.210982659,0.342351205
106,24,18,1,2,3,9,3,0,12,1,6,3,5,3,0,0,1,0,0,0,0,0,1,0,1,0,0.466763006,-0.469257255
107,34,6,4,3,2,4,2,6,15,1,12,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.328034682,-0.043531727
108,37,3,3,3,3,2,4,2,12,0,12,3,5,3,0,0,1,0,0,0,0,0,0,1,1,0,0.556358382,0.675356616
109,34,5,3,3,2,1,1,2,12,0,14,3,11,10,0,0,0,0,1,0,0,0,0,1,1,0,0.794797688,1.709050664
110,36,11,2,2,3,2,4,0,14,1,10,3,9,7,0,0,0,0,0,0,1,0,1,0,1,0,0.958092486,1.243482538
111,36,3,2,1,3,9,4,5,22,1,7,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.170520231,-0.454254796
112,43,26,2,3,3,1,4,1,12,2,25,4,25,12,0,0,1,0,0,0,0,0,1,0,0,1,-0.592485549,3.019429415
113,30,23,3,1,1,4,3,1,25,3,10,2,10,7,0,0,1,0,0,0,0,1,0,0,1,0,0.734104046,-0.50885391
114,33,22,2,3,3,2,2,0,13,1,8,4,7,7,0,0,0,1,0,0,0,0,1,0,1,0,-0.078034682,0.360059026
115,56,14,4,2,3,4,2,9,18,3,7,3,5,4,1,0,1,0,0,0,0,0,1,0,0,1,-0.524566474,0.06910969
116,31,6,4,2,1,2,3,4,18,0,12,2,7,7,1,0,1,0,0,0,0,0,1,0,0,1,-0.802023121,0.366453517
117,26,6,3,3,2,4,2,1,19,0,5,2,5,4,0,0,0,0,0,1,0,0,1,0,1,0,0.053468208,-0.56910969
118,58,23,4,4,3,7,4,1,12,1,40,2,40,10,1,0,0,0,1,0,0,0,1,0,1,0,-0.949421965,1.384653222
119,19,22,1,4,3,8,3,1,19,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,-0.398843931,-0.739547467
120,22,2,1,3,3,9,4,0,14,1,3,3,2,1,0,0,0,0,0,0,1,0,1,0,1,0,-0.303468208,-0.530988687
121,49,20,4,3,3,6,1,1,14,0,16,2,15,11,0,0,0,0,1,0,0,0,1,0,1,0,-0.48265896,0.46360059
122,43,28,3,2,4,4,3,4,12,0,18,3,3,2,0,0,0,0,1,0,0,0,0,1,1,0,0.221098266,0.014018692
123,50,12,3,3,3,2,4,4,11,0,16,3,2,2,0,0,0,1,0,0,0,0,0,1,1,0,0.007225434,1.113133301
124,31,20,3,2,1,2,3,3,11,1,4,3,2,2,1,0,1,0,0,0,0,0,1,0,0,1,-0.378612717,-0.030250861
125,41,9,1,3,3,2,3,3,13,1,12,3,9,7,0,0,1,0,0,0,0,1,0,0,0,1,-0.002890173,0.862518446
126,26,25,1,3,3,5,3,1,23,1,8,3,8,7,0,0,1,0,0,0,0,0,1,0,1,0,0.796242775,-0.427939006
127,36,6,2,2,3,6,2,6,20,2,7,3,3,2,0,0,0,0,1,0,0,1,0,0,1,0,-0.849710983,0.063698967
128,51,8,4,1,1,6,4,2,15,0,18,3,4,2,1,0,1,0,0,0,0,0,0,1,1,0,0.5,1.467781604
129,39,4,4,4,2,2,3,4,14,1,17,4,15,11,0,0,1,0,0,0,0,0,1,0,1,0,0.75867052,0.300049188
130,25,28,3,1,2,2,3,2,18,0,6,3,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0.223988439,0.973192327
131,30,9,3,3,3,5,4,0,19,0,12,1,11,9,0,1,0,0,0,0,0,0,1,0,0,1,0.630057803,0.40949336
132,32,9,3,1,3,9,1,7,22,0,10,4,5,4,1,0,0,0,1,0,0,0,0,1,1,0,0.330924855,-0.118544024
133,45,29,3,3,3,4,4,5,13,0,9,2,6,5,0,0,0,0,1,0,0,0,0,1,1,0,0.739884393,-0.302508608
134,38,3,5,4,3,4,3,3,20,0,19,3,3,2,0,0,0,0,0,0,1,0,0,1,0,1,-0.63583815,-0.089768815
135,30,18,3,1,3,4,3,1,14,0,5,2,5,4,0,0,1,0,0,0,0,0,0,1,1,0,-0.528901734,-0.504181013
136,32,9,2,4,1,2,4,0,17,3,9,4,8,7,0,0,0,0,1,0,0,1,0,0,1,0,-0.166184971,-0.003443187
137,30,5,3,4,3,4,1,5,14,1,8,3,3,2,0,0,0,0,0,0,1,1,0,0,1,0,-0.871387283,-0.363502213
138,30,2,1,2,2,9,4,0,13,0,6,3,5,3,0,0,0,0,1,0,0,0,0,1,1,0,0.900289017,-0.482538121
139,41,9,4,3,3,9,1,2,21,1,7,3,5,0,0,0,1,0,0,0,0,0,1,0,1,0,0.186416185,-0.601082145
140,19,3,1,2,3,9,2,1,14,0,1,3,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0.544797688,-0.786768323
141,40,26,3,2,3,4,2,1,11,1,20,3,20,7,0,0,0,0,1,0,0,1,0,0,1,0,0.854046243,0.227004427
142,35,1,5,3,3,2,2,1,13,2,10,3,10,8,0,0,0,1,0,0,0,0,1,0,1,0,-0.205202312,0.642646335
143,53,6,2,2,3,8,3,2,20,1,13,1,7,7,0,0,0,1,0,0,0,0,1,0,0,1,0.913294798,-0.584358091
144,45,9,3,2,3,9,2,8,18,1,20,1,17,9,0,0,1,0,0,0,0,1,0,0,1,0,-0.88150289,-0.574028529
145,32,8,3,2,3,2,4,1,14,0,9,3,9,8,0,0,0,1,0,0,0,0,0,1,1,0,0.235549133,1.061485489
146,29,1,1,4,3,6,3,1,13,1,10,3,10,7,0,0,0,0,0,0,1,0,1,0,1,0,1,-0.089276931
147,51,7,4,2,2,6,3,2,17,0,10,3,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0.527456647,0.356615839
148,58,9,3,2,2,4,2,4,20,1,9,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.492774566,-0.328578455
149,40,4,4,3,2,2,4,7,11,1,15,2,12,11,0,0,0,1,0,0,0,0,1,0,1,0,-0.251445087,1.518199705
150,34,2,4,3,3,8,3,6,18,1,6,3,4,3,0,0,0,1,0,0,0,0,1,0,1,0,-0.723988439,-0.602803738
151,22,19,1,3,3,4,4,1,24,2,2,3,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0.653179191,-0.580177078
152,27,9,3,4,3,4,2,6,18,1,6,1,2,2,0,0,0,0,1,0,0,1,0,0,1,0,-0.163294798,-0.653713724
153,28,21,3,3,3,4,4,1,11,1,5,1,5,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.526011561,-0.484259715
154,57,24,2,3,4,7,4,3,16,1,12,1,5,3,0,0,1,0,0,0,0,1,0,0,0,1,-0.679190751,1.169945893
155,27,3,3,3,2,4,3,1,15,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0.933526012,-0.520413182
156,41,14,3,1,3,4,3,4,12,1,13,3,9,8,0,0,1,0,0,0,0,1,0,0,1,0,-0.489884393,-0.548696508
157,30,5,3,2,3,2,4,2,12,1,12,3,10,9,0,0,1,0,0,0,0,0,1,0,1,0,0.773121387,1.165027054
158,38,1,4,1,2,2,4,4,22,0,12,4,8,3,0,0,1,0,0,0,0,0,0,1,1,0,-0.147398844,0.984751599
159,32,6,5,3,3,4,3,3,20,0,8,3,5,4,0,0,1,0,0,0,0,0,0,1,1,0,-0.988439306,-0.404328578
160,27,17,3,3,3,4,2,0,16,1,6,2,5,2,0,0,0,0,0,0,1,0,1,0,0,1,0.510115607,-0.399409739
161,19,1,1,3,1,8,1,0,21,0,1,4,0,0,1,0,0,0,0,0,1,0,0,1,1,0,-0.291907514,-0.579685194
162,36,3,2,4,3,9,2,4,12,0,13,2,8,7,0,0,0,0,1,0,0,0,0,1,1,0,0.976878613,-0.637973438
163,30,9,3,3,3,9,1,1,11,2,12,3,12,9,0,0,0,0,1,0,0,1,0,0,1,0,-1.001445087,-0.395966552
164,45,4,2,3,3,2,1,4,11,1,9,4,5,4,0,0,1,0,0,0,0,1,0,0,0,1,0.670520231,0.079685194
165,56,8,3,3,3,4,1,4,18,1,19,3,2,2,0,0,1,0,0,0,0,1,0,0,0,1,-0.13150289,-0.104525332
166,33,2,3,3,3,4,4,0,14,0,4,4,3,1,0,0,1,0,0,0,0,0,0,1,1,0,-0.968208092,-0.536645352
167,19,2,3,2,2,9,4,1,22,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,1,0,-0.723988439,-0.880472209
168,46,1,2,2,3,2,1,1,25,3,24,3,24,13,0,0,0,1,0,0,0,1,0,0,1,0,-0.401734104,1.419331038
169,38,9,2,3,3,9,4,1,12,0,2,3,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0.832369942,-0.588785047
170,31,12,1,3,3,4,4,8,23,1,7,3,4,2,0,0,0,0,1,0,0,0,1,0,0,1,-0.959537572,-0.185194294
171,34,27,2,4,3,4,2,2,15,0,9,3,3,2,0,0,0,0,1,0,0,0,0,1,1,0,-0.252890173,-0.583128382
172,41,20,2,2,3,8,2,1,22,0,4,2,4,3,1,0,0,1,0,0,0,0,0,1,0,1,0.797687861,-0.379242499
173,50,1,3,3,2,9,3,2,15,1,5,2,3,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.687861272,-0.243974422
174,53,13,2,4,4,6,1,1,11,2,5,3,4,2,0,0,0,0,1,0,0,1,0,0,1,0,0.404624277,-0.057058534
175,33,14,3,4,3,4,2,1,13,1,8,3,8,7,0,0,0,0,1,0,0,0,1,0,1,0,0.183526012,-0.473684211
176,34,2,1,4,2,6,3,1,17,0,10,2,10,9,0,0,1,0,0,0,0,0,1,0,1,0,0.382947977,1.196507624
177,51,3,3,4,3,7,2,3,18,0,21,3,7,7,0,0,0,0,1,0,0,0,0,1,1,0,-0.709537572,2.226266601
178,27,9,3,4,3,4,2,1,16,0,7,2,7,7,0,0,0,0,1,0,0,0,0,1,1,0,0.130057803,-0.590998524
179,35,23,2,2,2,6,3,3,13,0,8,3,1,0,1,0,1,0,0,0,0,0,1,0,0,1,-0.358381503,0.303492376
180,43,7,3,4,4,4,4,4,14,3,7,4,5,4,0,0,0,0,1,0,0,1,0,0,1,0,0.780346821,-0.637727496
181,45,2,2,1,2,1,4,9,23,1,22,3,20,8,0,0,0,0,1,0,0,0,1,0,1,0,0.565028902,2.978357108
182,37,21,3,2,4,4,1,1,12,1,8,2,8,7,0,0,1,0,0,0,0,0,1,0,0,1,-0.742774566,-0.274963109
183,35,2,3,2,3,9,2,5,11,0,10,3,6,2,0,0,0,0,1,0,0,0,0,1,1,0,-0.962427746,-0.063207083
184,42,21,2,3,3,6,3,2,16,1,11,3,5,3,0,0,0,0,1,0,0,1,0,0,1,0,0.176300578,0.143384161
185,38,2,4,4,3,6,3,9,14,0,14,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0.660404624,0.460157403
186,38,29,3,4,3,6,4,3,18,1,9,1,7,7,0,0,0,0,0,0,1,0,1,0,1,0,0.404624277,0.388342351
187,27,1,1,3,2,6,1,5,19,1,6,3,2,2,0,0,0,0,0,0,1,0,1,0,1,0,-0.479768786,-0.094441712
188,49,18,4,4,3,6,4,1,15,2,7,3,7,7,0,0,1,0,0,0,0,1,0,0,0,1,0.286127168,0.521888834
189,34,10,4,4,3,4,3,1,17,1,5,4,5,3,0,0,0,0,1,0,0,1,0,0,0,1,0.106936416,-0.213231677
190,40,19,2,3,3,9,4,8,15,1,15,4,7,2,0,0,0,0,1,0,0,0,1,0,0,1,0.145953757,-0.47737334
191,38,29,1,2,3,7,1,7,19,0,17,3,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0.543352601,0.489670438
192,29,27,3,2,3,2,4,1,22,3,10,2,10,4,1,0,0,1,0,0,0,0,1,0,1,0,-0.98699422,0.727250369
193,22,5,3,4,4,4,2,1,16,1,4,2,4,2,0,0,1,0,0,0,0,1,0,0,0,1,0.479768786,-0.578947368
194,36,18,1,2,3,9,4,1,13,0,8,3,8,1,0,0,0,0,1,0,0,0,0,1,1,0,-0.244219653,-0.621987211
195,40,9,5,4,2,7,4,9,14,1,5,1,3,2,0,0,1,0,0,0,0,0,1,0,1,0,0.501445087,0.04771274
196,46,1,4,4,3,7,1,7,16,1,17,3,4,2,0,0,0,0,1,0,0,1,0,0,1,0,-0.231213873,1.159370389
197,32,4,4,4,1,2,4,1,11,0,14,2,14,8,1,0,0,0,1,0,0,0,1,0,1,0,0.348265896,1.406296114
198,30,1,1,3,2,6,3,1,22,0,12,3,11,8,0,0,1,0,0,0,0,0,0,1,1,0,0.036127168,0.932611904
199,27,20,3,4,3,2,3,1,14,0,7,3,7,7,0,0,1,0,0,0,0,0,0,1,1,0,0.632947977,1.303246434
200,51,8,4,2,2,3,2,5,16,2,16,1,10,9,0,0,1,0,0,0,0,0,1,0,1,0,0.960982659,1.920314806
